0,0,3.05e+05,0,0,0
-2968.5,0,3.048e+05,-854.49,-2.7341e+05,-1411.8
-6164.4,0,2.5748e+05,-1773.1,6.3128,-2930.8
-9483.4,0,2.0719e+05,-2728.7,-998.4,-4512.6
-12344,0,1.4514e+05,-3556.8,-2035.9,-5885.9
-13384,0,52269,-1262.8,9136.9,-2754.5
-3879.1,0,23833,1688.7,5675.7,-1108.6
-2945.7,0,11968,1073.4,3902,-1016.6
-10048,0,6660.5,532.45,7352.3,-2028.4
-276.45,0,4237.5,-282.07,5214.6,-3175.5
12198,0,2014.2,-2039.9,-4284.3,-1516.9
20339,0,2597.9,-5372,241.49,1063.6
5690.4,0,2575.8,-547.15,7099,-1103.7
2800,0,-152.85,-806.7,2961.2,-119.49
11974,0,-759.37,84.787,336.12,-1205.7
19044,0,-899.49,-5109.8,3600.5,135.96
2257.2,0,763.49,837.52,-2945.7,3041.7
-2467.4,0,276.75,1912.8,-4904.9,2703
-31934,0,4956.6,3093.6,-11259,1757.7
-20752,0,-459.41,6325.8,-5647.3,132.02
-56867,0,-2963.8,6212.4,-549.66,-1896.4
-25799,0,-2580.4,8455,1808.7,-1309.7
33141,0,-1409.4,4826.2,9575.3,-1634.4
-1051.8,0,-72.702,3337,16980,-322.35
21657,0,4017.5,3096,23074,1818.9
-9164,0,2455.8,3599.7,6099,907.84
17919,0,2162.2,3355.2,4924.9,-2533.9
-62925,0,-8207,885.65,10933,-1.0391e+05
94160,0,4923.6,6268.3,15836,31510
385.64,0,3273.4,2829.2,11705,18559
36173,0,5138.6,2135.4,1698.7,10477
34068,0,-364.21,986.81,1186.2,3844.9
9323.3,0,213.31,-2138.6,-11874,3153.4
4566.6,0,-463.42,1108.6,-15265,432.5
-4944.8,0,-1141.9,2791.6,-8794.6,-884.16
15526,0,3933.9,2493.3,-693,-4222.4
2.9153e+05,0,-21427,1633.5,6833.5,-1.8069e+05
-2.9607e+05,0,14777,1662.3,4245.6,70450
-22925,0,4695,3965.3,8825.3,41648
12888,0,2104.7,10413,7627.4,25190
36228,0,-1008.3,5466.7,1813.1,13618
4660.1,0,-954.61,2273.6,5598.8,4978.9
-10610,0,2490.1,1169.2,-14160,2658.8
-71868,0,-40591,4701.7,-4830.4,-2.1315e+05
-86057,0,-40435,5414.9,-4529.2,-80400
-60748,0,-72232,4111.7,-5844,-70280
2.2309e+05,0,-32679,1518.3,-11870,-59965
-37149,0,-63128,-917.44,-2267.3,-61064
-2.1993e+05,0,-22534,4230.6,-10553,10924
-5394.2,0,1.2771e+05,-405.35,11034,12064
-12226,0,38824,-3435.3,-1443.8,38365
-77851,0,-26025,-4763.5,-9141.5,26317
1.7992e+05,0,81431,-2324.2,4389,1.6026e+05
-6608.9,0,45834,-959.57,629.14,95464
-9557.1,0,29130,-1044.6,17328,57517
28878,0,15756,2766.7,9338.7,38088
-89565,0,29821,-779.21,16065,20913
-11710,0,15622,-6374.4,12144,12282
-25994,0,-1536.3,-5724.6,12246,8065.8
-85161,0,-1310.7,-6021.3,4581.8,7405.4
19095,0,-15812,-1696,-5677.5,5074.9
21269,0,-3995.1,-1537.6,7451.4,6525.7
49226,0,-5649.6,1129.2,5073.8,4328.5
-1.4243e+05,0,-63814,-3146.4,3845,-1.3847e+05
1.9334e+05,0,-86330,-5094,7852.1,-1.2844e+05
1.3505e+05,0,-5760.2,-489.58,10406,-63996
3.4308e+05,0,3094,-3198,1703.5,-48745
3.1414e+05,0,28357,-2901.7,-10816,4317.3
-2.3085e+05,0,-55636,-2748.3,-2742.2,-4974.8
-59476,0,-7117,-514.38,-943.67,-20314
78230,0,-4778.6,-701.31,-7795.8,-1532.8
-3.681e+05,0,-1.0852e+05,1286.5,-11014,-4463.5
-1.5158e+05,0,85901,4360.1,4208,-15352
-3.1299e+05,0,-6114.1,167.53,9764.7,5423.6
1.3182e+05,0,731.65,-5777.9,7498.9,-31625
36204,0,64546,-5953.1,2863.7,42336
1.9437e+05,0,75708,-7141.5,5178.8,1.6035e+05
87408,0,54340,-2330.7,6067.1,96865
-49398,0,30063,-4384.8,-5590.9,58873
-37477,0,27108,-5362,279.09,35494
-15136,0,13621,-5346,-11116,23218
-20096,0,2448.1,-4772.8,-3186.5,15448
-38104,0,-23828,-1010.3,2573.3,9170.3
-57750,0,-9189.8,-3622.6,-2112.8,4078.7
-6042.6,0,-5145,-11193,6963.4,3236.9
77353,0,3375.3,-6002.1,3923.5,5417.6
-2.7102e+05,0,-59764,-7352.8,11414,-1.2783e+05
-2.1903e+05,0,-32466,-4228.5,-15105,-23022
1.0411e+05,0,-30951,-2449.1,-5653.4,-17593
-44884,0,52891,-5444.2,-1684,30264
-1.874e+05,0,-43570,-1722.3,-11917,27265
47158,0,47861,250.34,-5031.5,42343
-1.9219e+05,0,-53719,2257.6,-13340,33115
-26304,0,3763.9,3111.2,-27160,-6233.3
1.2141e+05,0,25711,-134.06,-29787,-20267
-1.7686e+05,0,10202,-5420.5,-19843,-51407
4.8668e+05,0,-43662,-3826.3,-16024,-17426
22576,0,29700,854.42,-14518,37379
3.5929e+05,0,52617,3107.8,-16500,49511
-1.298e+05,0,17935,434.42,-15861,-18209
-1.0496e+05,0,6227.4,805.02,-24312,-49207
3883.6,0,-6889.1,-3721.7,-23076,-51992
2.522e+05,0,36506,-2555.7,-20062,68014
-35397,0,-1.9532,-1908.9,-16559,35952
1.1613e+05,0,-77809,-489.77,-13764,-1.2001e+05
-6781.3,0,46722,-925.94,-5152.2,69437
-2381.1,0,60849,3817.6,7178.9,47211
1.3412e+05,0,58113,2351.7,-1469.6,28319
-1534,0,53230,1963.3,-8091.6,18474
28089,0,18096,333.68,-1302.6,16290
-1.6915e+05,0,14740,4938,6363.6,15730
-30145,0,-11678,1210,-653.9,11815
-84659,0,-58301,-2449.2,-9328.3,5704.9
98825,0,-10902,773.04,-8942.9,4188.4
86671,0,-2439.9,-537.76,4878.9,3875
3565.7,0,2743.7,486.26,14918,-1602.9
-29839,0,-10144,3579.4,-6926.4,-829.27
-95732,0,-2756.2,144.29,-7586.2,407.59
1.1936e+05,0,28418,197.34,788.67,3445.9
1.2885e+05,0,3102.7,718.66,-7135.2,-192.11
