0,0,3.05e+05,0,0,0
-60169,0,3.101e+05,-43152,-1.605e+05,-36392
-74603,0,2.7318e+05,-59192,-28882,-50168
-79070,0,2.3239e+05,-66913,-32791,-56846
-75248,0,1.7677e+05,-67056,-32970,-57072
-1.122e+05,0,51041,-1197.7,1.0222e+05,-8431.9
-28086,0,-39467,55047,41565,8598.4
9105.2,0,-17720,27064,12952,6899.8
-60997,0,-4131.3,8898.4,37958,-4938.5
45583,0,-5831.4,-8060.9,8316,-12256
1.9232e+05,0,-44393,-34471,-71015,4150.8
2.578e+05,0,-7553.6,-76338,-18866,22551
70284,0,2865.5,14928,35988,813.76
5165.7,0,-74622,7920.4,-3259.4,7334.2
1.0077e+06,0,-3.1956e+05,18474,-20962,-1.4872e+05
8.8171e+05,0,-3.9424e+05,-55421,2.2769e+05,-65407
-68925,0,1.4203e+05,36345,-1.926e+05,2.3124e+05
-4.2928e+05,0,-10136,40826,-1.0821e+05,1.6419e+05
-1.205e+06,0,3.3664e+05,44949,-94460,-46472
-1.5247e+06,0,-20802,72356,-23085,34475
72943,0,-1566.1,52343,19792,-65014
20413,0,-8382.8,64794,31738,-38746
4.3651e+05,0,-1044.8,6902.8,69359,-24536
-7.3809e+05,0,-4.3562e+05,-11519,3.2364e+05,-4999
8.5233e+05,0,3.3789e+05,-11124,-56144,5364.6
2.1743e+05,0,1.5841e+05,-2616.6,-84036,139.59
2.2941e+05,0,67417,-4251.2,-42505,-17614
1.0645e+06,0,-7.5265e+05,-28837,3.6194e+05,-3.506e+05
-4.3851e+05,0,4.0665e+05,34792,-1.9898e+05,98315
-2.941e+05,0,2.0527e+05,-8860.7,-90607,66037
1.2177e+05,0,1.4569e+05,-13228,-76500,43183
1.6666e+05,0,-6683.5,-21008,-37912,20281
-1784.7,0,8265.6,-46466,-82389,24210
9.1771e+05,0,-82300,-2504,-73286,-2.283e+05
-1.2653e+05,0,-1.7665e+05,14852,-21207,-1.2446e+05
-6.2631e+05,0,1.7974e+05,8548.6,23959,1.375e+05
3.6071e+05,0,-5.5149e+05,-1533.4,3.2251e+05,-1.2143e+05
-8.2178e+05,0,4.086e+05,-548.25,-1.5861e+05,1.5353e+05
-2.1508e+05,0,1.3335e+05,21796,-38690,90009
36063,0,62269,77600,-3556.7,57060
1.0829e+06,0,-2.0717e+05,12689,-13645,-1.1468e+05
1.4295e+05,0,-1.3233e+05,-19376,15702,-2.1126e+05
-7.4542e+05,0,1.9768e+05,-24016,-75683,1.4908e+05
-1.8513e+06,0,-4.5823e+05,15191,2.2772e+05,-1.2799e+05
-7.0806e+05,0,-2.2862e+05,18693,42069,1.9023e+05
8.6487e+05,0,2.7404e+05,2981.1,-2.3489e+05,77608
8.602e+05,0,-4.1287e+05,-20497,1.6009e+05,-1.1789e+05
89606,0,3.337e+05,-36735,-2.1583e+05,80454
-1.0673e+06,0,-3.627e+05,19350,1.6201e+05,67992
5.2813e+05,0,7.231e+05,-26515,-2.8659e+05,48785
2.0769e+05,0,2.3612e+05,-46644,21462,43544
-6.2882e+05,0,-1.6178e+05,-46779,-7340.4,77700
5.6417e+05,0,3.292e+05,-13614,59048,-20938
81780,0,2.0973e+05,1625.9,29139,-21530
48419,0,1.3457e+05,216.64,96000,-13202
2.4683e+05,0,9187.6,33546,37041,7272.6
-4.4387e+05,0,2.5151e+05,-6025.3,-1.3347e+05,-7887
-48185,0,8500.6,-53751,1.596e+05,-5728.9
-84182,0,-2.1505e+05,-35164,79143,-829.32
-4.1818e+05,0,-1.6006e+05,-29691,4654.2,9628.5
-9.7992e+05,0,-6.164e+05,14569,1.676e+05,-5598.1
3.1392e+05,0,-11428,11623,-1.4003e+05,1.2699e+05
1.1531e+06,0,-1.6408e+05,31292,-69548,58595
9.8675e+05,0,-1.9059e+05,-13945,1.3316e+05,-66686
4.9734e+05,0,-1.1332e+05,-27842,54388,-59640
1.7207e+05,0,1.2856e+05,18213,-1.4161e+05,-28421
2.4009e+06,0,-3.3908e+05,-10162,1.7582e+05,-1.8828e+05
1.431e+06,0,2.9613e+05,-5645.6,-2.6792e+05,59366
-1.6367e+06,0,-4.7474e+05,-3510,2.3308e+05,-9656.3
-1.0832e+06,0,1.5926e+05,15955,-2.5245e+05,-83130
-2.1318e+05,0,1.6584e+05,9922.9,-1.2829e+05,7533.7
-1.4979e+06,0,59894,24115,-63296,69369
-6.4435e+05,0,4.5624e+05,44249,40896,35328
-2.0991e+06,0,-44227,-2431.9,65837,-25268
5.4283e+05,0,55257,-52513,45209,-1.7007e+05
9.6399e+05,0,2.3849e+05,-41309,16654,1.266e+05
6.3665e+05,0,2.2614e+05,-41791,23348,73473
5.837e+05,0,2.772e+05,8628,-1.3914e+05,38257
-2.3805e+05,0,82458,-11765,78955,21838
-2.6484e+05,0,1.0363e+05,-18027,-95908,10423
-1.1384e+05,0,-57195,-14407,70198,12211
-87617,0,-1.586e+05,-7031.7,44444,10670
-9.4101e+05,0,-7.242e+05,25510,2.8272e+05,-6401.9
-8.666e+05,0,-1.4331e+05,-3746.9,-1.7606e+05,-1.0248e+05
78499,0,3870.5,-67680,-45298,-88738
1.3908e+06,0,1.8233e+05,-8416.9,-20596,87749
3.2331e+05,0,-2.1766e+05,-19069,1.6777e+05,44380
-9.4074e+05,0,-6.3981e+05,10560,1.8647e+05,1.8153e+05
4.5872e+05,0,-1.9025e+05,21646,-40044,45114
3.1608e+05,0,6.3995e+05,-10039,-3.1124e+05,-34183
-9.5738e+05,0,-2.9936e+05,22599,75285,1.4616e+05
6.8593e+05,0,5.1835e+05,32648,-2.0642e+05,-79479
-1.0121e+06,0,-3.6084e+05,40751,1.2095e+05,1.3398e+05
-65443,0,2.1681e+05,37474,-2.5748e+05,-83603
1.0431e+06,0,3.1339e+05,898.27,-1.3478e+05,-97470
71614,0,1.2753e+05,-43714,-25185,-72022
1.7766e+06,0,-2.687e+05,-19943,12992,-1.2533e+05
-3.7569e+05,0,2.5114e+05,23654,22472,34679
2.3694e+05,0,2.5906e+05,36337,10234,16497
-2.2341e+05,0,20246,4956.6,9648.8,-1781.9
-3.5026e+05,0,-30048,6812.6,-29845,-16710
-1.3463e+05,0,-46239,-32629,-19757,-12483
2.0506e+05,0,2.6759e+05,-15047,-1.4248e+05,-7911.3
-3.4548e+05,0,-1.566e+05,-6250.3,1.0379e+05,-22143
1.2536e+06,0,-7.1877e+05,6776.8,3.419e+05,-2.3105e+05
-4.808e+05,0,4.1073e+05,1191.5,-1.3789e+05,92553
-2.8664e+05,0,5.8693e+05,40105,-2.4574e+05,81901
5.3126e+05,0,4.7252e+05,18047,-1.3324e+05,46676
-1.0319e+05,0,3.3408e+05,10547,-54090,31678
-19633,0,-1.196e+05,-5337.8,1.8813e+05,38889
-1.0039e+06,0,-72899,34421,1.3496e+05,41677
-3.2507e+05,0,-3.7626e+05,-4560.9,2.1844e+05,24063
-4.07e+05,0,-8.0973e+05,-33373,2.8187e+05,-1322
5.9024e+05,0,-2.7413e+05,1727.5,-38539,1.7698e+05
1.1278e+06,0,54940,-9401.9,-1.482e+05,1.0333e+05
-3.0287e+05,0,1.7622e+05,1475,-21171,-1.3387e+05
-2.3838e+05,0,-2.1057e+05,26794,-79508,-61116
-1.2526e+06,0,53325,-7948.1,-48401,-21218
9.1137e+05,0,4.438e+05,-5328.9,-1.3982e+05,-31467
8.4642e+05,0,45388,466.94,75978,-31854
-1.0193e+05,0,-97885,20416,33534,-26467
1.1543e+06,0,-6.5585e+05,30262,3.1049e+05,1.2644e+05
-6.8312e+05,0,4.6243e+05,47214,-1.3428e+05,-20041
-1.7972e+05,0,2.5737e+05,17624,2599,-46469
1.7128e+06,0,-2.9343e+05,-15209,27104,66802
-1.4183e+06,0,-1.68e+05,9831.6,-37556,-2.4283e+05
-5.4738e+05,0,3.9167e+05,46222,-34756,2428.7
-1.2458e+05,0,-2.455e+05,-22352,6056.9,-1.9982e+05
-3.9609e+05,0,3.2188e+05,-41573,15034,98419
2.0957e+05,0,48394,-26350,-40488,80728
-4.74e+05,0,2.2239e+05,16096,-34975,52802
