0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0303e+05,0,0,0,0
-40295,0,0,0,-4.4873e+05,-23107,-0,-0,-0,-854.49,-0,-0,-30.94,83.684,4.3176e+05,0,0,0,0
-83384,0,0,0,-4.3445e+05,-47914,-0,-0,-0,-1773.1,-0,-0,-64.307,173.93,4.2119e+05,0,0,0,0
-1.2792e+05,0,0,0,-4.125e+05,-73678,-0,-0,-0,-2728.7,-0,-0,-99.96,270.36,4.0903e+05,0,0,0,0
-1.6613e+05,0,0,0,-3.4376e+05,-95959,-0,-0,-0,-3556.8,-0,-0,-137.75,372.59,3.8028e+05,0,0,0,0
40505,0,0,0,3.0494e+05,30775,-0,-0,-0,-1262.8,-0,-0,248.42,261.99,2.4944e+05,0,0,0,0
-2.7373e+05,0,0,0,1.3536e+05,-42216,0,0,0,1688.7,0,0,259.17,21.455,1.4767e+05,0,0,0,0
7224.9,0,0,0,52329,-30622,0,0,0,1072.7,0,0,273.19,16.707,1.3905e+05,0,0,0,0
2.7813e+05,0,0,0,20533,45130,0,0,0,530.9,0,0,446.16,28.426,1.2229e+05,0,0,0,0
-38661,0,0,0,2074.7,24540,-0,-0,-0,-284.27,-0,-0,464.99,87.799,1.111e+05,0,0,0,0
22074,0,0,0,-17052,15744,-0,-0,-0,-2042.4,-0,-0,187.81,270.92,1.0486e+05,0,0,0,0
25894,0,0,0,-10564,13058,-0,-0,-0,-5374.5,-0,-0,281.11,675.91,1.0363e+05,0,0,0,0
2998,0,0,0,1164.2,4956.2,-0,-0,-0,-549.62,-0,-0,522.73,410.19,1.0281e+05,0,0,0,0
2447.3,0,0,0,-3172.1,3896.6,-0,-0,-0,-809.08,-0,-0,465.73,456.6,99674,0,0,0,0
92947,0,0,0,-5369.9,-1.1799e+05,0,0,0,82.502,0,0,404.86,400.26,74868,-0,-0,-0,0
1.6845e+05,0,0,0,952.11,-70102,-0,-0,-0,-5112,-0,-0,519.17,905.65,61926,-0,-0,-0,0
-17135,0,0,0,-7768.4,10667,0,0,0,835.06,0,0,326.73,519.86,92973,-0,-0,-0,0
-23470,0,0,0,-9898.8,22420,0,0,0,1910,0,0,207,382.19,82500,-0,-0,-0,0
